chapter,token_count,tokens_per_second,total_time,spacy_time,emotion_time,location_time,loc_confidence,loc_score,char_score,dominant_emotion,dominant_sentiment
30,7274,115.46894307162002,62.995293855667114,2.4729905128479004,12.641867399215698,47.87443733215332,0.39529845118522644,0.968475,0.9999,sadness,negative
31,5306,137.55580386980878,38.57343602180481,1.492335319519043,16.354713201522827,20.715380430221558,0.21781297028064728,0.9756428571428573,0.8284800000000001,sadness,negative
32,9024,112.91620318876362,79.91767120361328,3.061563730239868,18.16138219833374,58.68821597099304,0.21781297028064728,0.9852000000000001,0.7822238095238095,sadness,negative
33,12091,137.08112451354162,88.20324492454529,3.660459041595459,29.92496609687805,54.609819650650024,0.32787010073661804,0.98145,0.9999,sadness,negative
34,6968,88.64389152646508,78.60665726661682,3.6205124855041504,29.634732246398926,45.34641361236572,0.21781297028064728,0.9655235294117648,0.8284800000000001,sadness,negative
35,6428,86.12811295858775,74.63300633430481,5.324192762374878,31.298089027404785,38.0047173500061,0.23411253094673157,0.9726892857142858,0.7754214285714286,sadness,negative
36,6882,90.3692365227475,76.1542341709137,3.7013566493988037,22.224228143692017,50.22164559364319,0.25840532779693604,0.9696869565217392,0.8665733333333334,sadness,negative
37,3645,123.75265435110568,29.453913688659668,1.1006112098693848,10.834136962890625,17.516159772872925,0.23351359367370605,0.9852000000000001,0.9999,sadness,negative
38,6716,91.91456097464797,73.06785702705383,2.7201807498931885,11.703590393066406,58.637094020843506,0.23351359367370605,0.763,0.9999,sadness,negative
39,5203,72.93432169022942,71.33815574645996,9.181953430175781,27.526549100875854,34.62064862251282,0.21781297028064728,0.9814833333333333,0.777688888888889,sadness,negative
40,10979,96.20238172786682,114.12399363517761,9.93061900138855,31.07686161994934,73.05850076675415,0.2312186062335968,0.9742821428571428,0.9999,sadness,negative
41,6987,76.27113813053607,91.60739135742188,7.799768447875977,23.920231580734253,59.88038897514343,0.23411253094673157,0.9851666666666666,0.9869136363636364,sadness,negative
42,5483,57.987359276124415,94.55509042739868,5.341197967529297,29.314462661743164,59.891907930374146,0.32787010073661804,0.9852000000000001,0.9692892857142859,sadness,negative
43,5849,70.59223116576183,82.8561429977417,2.4034903049468994,14.719690322875977,65.72696208953857,0.32787010073661804,0.9666166666666667,0.9999,sadness,negative
44,5937,119.05007315998628,49.86977195739746,4.668040752410889,16.74092745780945,28.455800771713257,0.3054937422275543,0.977113888888889,0.9999,sadness,negative
45,6650,96.19804111815795,69.12822675704956,4.69599175453186,13.427022933959961,50.99821186065674,0.3054937422275543,0.9846870967741935,0.9999,sadness,negative
46,8425,83.58806023955908,100.79190707206726,4.17741584777832,16.924717664718628,79.6817717552185,0.32787010073661804,0.9852000000000001,0.8213375,sadness,negative
47,6218,68.6119466433876,90.62561702728271,4.0926353931427,23.647931337356567,62.87754583358765,0.23351359367370605,0.9811454545454545,0.9999,sadness,negative
48,5644,96.520636046955,58.47454214096069,3.4978036880493164,21.328524827957153,33.643213748931885,0.32787010073661804,0.9852000000000001,0.8213375,sadness,negative
49,4168,98.80530788970079,42.18396854400635,1.3913097381591797,10.225298881530762,30.56235909461975,0.23351359367370605,0.9852000000000001,0.9999,sadness,negative
50,5449,103.61531343162378,52.588751792907715,2.517033338546753,12.700376749038696,37.365341663360596,0.32787010073661804,0.9852000000000001,0.9999,sadness,negative
51,4295,92.57450485662275,46.395063161849976,2.022974729537964,17.170362949371338,27.197728157043457,0.10745591670274734,0.9758749999999999,0.9999,sadness,negative
52,4778,126.31290105467484,37.826698303222656,1.6108694076538086,10.862897634506226,25.34792995452881,0.2889701724052429,0.9721916666666668,0.776308695652174,sadness,negative
53,10957,210.8881012239635,51.95646381378174,4.4790050983428955,15.3266122341156,32.00209307670593,0.23351359367370605,0.9688029411764707,0.8915310344827587,sadness,negative
101,3296,52.813965189708746,62.40773606300354,0.5831313133239746,32.44698166847229,29.361622095108032,0.34736984968185425,0.76594,0.7801307692307693,sadness,negative
